sku,ourName,ourSlug,currentlyHasRealImage,matchedName,confidence,numbersMatch,imageUrl,approved
PMS-B002,Brufen 400,brufen-400-pms-b002,false,AC-4 F 400 mg,0.2,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-5.webp,
PMS-B003,Brufen 600,brufen-600-pms-b003,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-B004,Betnesol,betnesol-pms-b004,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-B005,Briv 50,briv-50-pms-b005,false,Aten 50,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/aten50tab_1.jpg,
PMS-B006,Becozyme C Forte,becozyme-c-forte-pms-b006,false,Amaryl M-forte 1mg,0.167,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/3a9973152987443699b862e8e8e3a0c4.avif,
PMS-B007,Brutacef 200 DT,brutacef-200-dt-pms-b007,false,AC-4 F 200 mg,0.167,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/8c8b14a6f9554ad28567c36c3794792a.avif,
PMS-B008,Brutoflam 90,brutoflam-90-pms-b008,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-B009,Beplex Forte,beplex-forte-pms-b009,false,Amaryl M-forte 1mg,0.2,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/3a9973152987443699b862e8e8e3a0c4.avif,
PMS-B010,Baclof 10,baclof-10-pms-b010,false,Atarax 10,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-19.webp,
PMS-B011,Buscopan,buscopan-pms-b011,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-B012,Buscogast Plus,buscogast-plus-pms-b012,false,Aceclo Plus,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-22.webp,
PMS-B013,Betnovate-N Cream,betnovate-n-cream-pms-b013,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-C001,Ciplox TZ,ciplox-tz-pms-c001,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
